sample_id;weight;sex
1;17,2;female
2;18,8;female
3;27,8;male
4;20,4;male
5;20,6;male
6;28,6;male
7;22,3;male
8;13,7;female
9;16,6;female
10;17,8;female
11;26,1;female
12;21,8;male
13;22;male
14;20,6;male
15;17,2;female
16;28,9;male
17;22,5;male
18;10,2;female
19;23,5;male
20;17,6;female
21;14,7;female
22;18,9;female
23;14,9;female
24;16,4;female
25;16,9;female
26;11,6;female
27;24,2;male
28;20,8;male
29;14,3;female
30;26,3;male
31;22,1;male
32;18,5;female
33;24,5;male
34;24,4;male
35;24,1;male
36;23,4;male
37;22,8;male
38;19,7;female
39;18,5;female
40;18,1;female
41;16,5;female
42;19;female
43;13,7;female
44;30,8;male
45;26;male
46;14,4;female
47;18;female
48;17,7;female
49;23,9;male
50;19,6;female
51;21,3;male
52;19,9;male
53;19,8;male
54;26,8;male
55;18,9;female
56;27,6;male
57;12,3;female
58;22,9;male
59;20,6;male
60;21,1;male
61;21,9;male
62;17,5;female
63;18,3;female
64;14,9;female
65;14,6;female
66;21,5;male
67;22,2;male
68;20,3;male
69;24,6;male
70;30,3;male
71;17,5;female
72;8,5;male
73;25;male
74;16,5;female
75;16,6;female
76;25,1;male
77;18,6;female
78;13,9;female
79;20,9;male
80;19,3;female
81;20;male
82;21,9;male
83;18,1;female
84;23,2;male
85;18,9;female
86;21,7;male
87;25,5;male
88;22,2;male
89;18,4;female
90;25,7;male
91;25;male
92;22,7;male
93;21,2;male
94;16,9;female
95;26,8;male
96;17;female
97;30,9;male
98;27,7;male
99;18,8;female
100;14,9;female
101;16,4;female
102;21,3;male
103;18,8;female
104;18,3;female
105;15,2;female
106;19,8;male
107;16,1;female
108;11,7;female
109;18,1;female
110;24,6;male
111;17,1;female
112;23;male
113;11,9;female
114;19,7;female
115;22,6;male
116;21,5;male
117;20,5;male
118;16,8;female
119;15,8;female
120;14,9;female
121;20,6;male
122;15,3;female
123;17,5;female
124;18,7;female
125;29,2;male
126;16,7;female
127;21,2;male
128;20,4;male
129;15,2;female
130;19,6;female
131;27,2;male
132;22,3;male
133;20,2;male
134;17,9;female
135;9,7;male
136;25,7;male
137;12,7;female
138;23,7;male
139;29,5;male
140;12,8;female
141;23,5;male
142;18,7;female
143;12,1;female
144;12,4;female
145;12;female
146;17,3;female
147;12,7;female
148;23,4;male
149;30,5;male
150;13,6;female
151;23,9;male
152;23,8;male
153;21,7;male
154;15;female
155;19,4;female
156;18,6;female
157;22,8;male
158;18,1;female
159;24,9;male
160;18,1;female
161;25,3;male
162;14,8;female
163;13,7;female
164;36,2;male
165;17,9;female
166;21,5;male
167;23,2;male
168;17,6;female
169;22,6;male
170;21,8;male
171;18,9;female
172;20,3;male
173;19,8;male
174;30,6;male
175;16,3;female
176;14,5;female
177;20,2;male
178;21,6;male
179;22,2;male
180;17,7;female
181;14,7;female
182;26,3;male
183;18,3;female
184;15,7;female
185;18,8;female
186;19;female
187;25,5;male
188;20,4;male
189;23,8;male
190;17,5;female
191;21,1;male
192;18,4;female
193;20,5;male
194;15,5;female
195;13,4;female
196;30;male
197;23;male
198;13,7;female
199;16,9;female
200;14,1;female
